"id";"email";"first_name";"last_name";"password";"user_name"
1;"dummy@dummy.com";"dummy";"dummy";"dummy";"dummy"
2;"dummy2@dummy.com";"dummy2";"dummy2";"dummy2";"dummy2"
3;"demo123@demo123.com";"demo123";"demo123";"demo123";"demoUser123"
4;"demo123@demo123.com";"demo123";"demo123";"demo123";"demoUser123"
5;"sumit@kawale.com";"sumit";"kawale";"sumit";"userSumit"
6;"sumit2@kawale.com";"sumit2";"kawale2";"sumit2";"userSumit2"
7;"sumit3@kawale.com";"sumit3";"kawale3";"sumit3";"userSumit3"
8;"testNew@testNew.com";"testNew";"testNew";"testNew";"testNew"
9;"test@test.com";"Srikanth";"Narayan";"dummy";"Srikanth"
10;"test@test.com";"Srikanth";"narayan";"dummy";"Srikanth"
